
 2.931e-01 2.422e-03 1.738e-02 1.972e-02 9.730e-03 2.382e-03 5.657e-03 1.776e-02 3.753e-02 5.774e-03 7.885e-02 1.301e-03 7.399e-03 2.987e-03 1.482e-03 2.050e-03
 3.568e-02 4.189e-01 2.320e-02 8.325e-02 7.701e-02 6.204e-02 4.138e-02 8.604e-02 1.827e-02 7.616e-02 5.463e-02 8.943e-02 4.380e-02 1.127e-01 5.806e-02 1.440e-01
 4.481e-02 4.060e-03 6.075e-01 5.932e-02 7.849e-03 2.203e-03 1.449e-02 6.409e-02 2.527e-02 7.186e-03 4.551e-02 3.697e-03 5.012e-03 7.506e-03 6.189e-03 1.121e-02
 1.846e-02 5.288e-03 2.154e-02 4.568e-01 1.274e-03 3.034e-03 1.304e-03 2.066e-02 2.173e-03 8.880e-03 1.367e-02 3.624e-03 2.710e-03 7.152e-03 1.148e-03 3.186e-02
 1.900e-01 1.021e-01 5.945e-02 2.657e-02 5.289e-01 9.558e-02 1.101e-01 1.288e-01 4.221e-02 5.350e-02 8.040e-02 4.884e-02 1.778e-01 9.441e-02 1.042e-01 4.049e-02
 4.741e-03 8.383e-03 1.701e-03 6.454e-03 9.746e-03 4.021e-01 1.203e-02 3.579e-02 2.552e-03 1.050e-02 2.177e-02 5.325e-03 7.875e-03 4.024e-02 8.498e-03 2.292e-01
 4.718e-02 2.343e-02 4.688e-02 1.162e-02 4.701e-02 5.038e-02 5.340e-01 8.325e-02 2.066e-02 2.057e-02 5.610e-02 1.919e-02 8.544e-02 9.931e-02 3.488e-02 1.412e-02
 6.505e-03 2.139e-03 9.105e-03 8.085e-03 2.415e-03 6.584e-03 3.655e-03 7.409e-02 2.006e-03 4.048e-03 2.133e-03 1.649e-03 4.516e-03 2.848e-02 1.367e-03 7.037e-03
 1.154e-01 3.813e-03 3.013e-02 7.137e-03 6.646e-03 3.940e-03 7.617e-03 1.684e-02 6.502e-01 1.126e-02 3.890e-02 9.557e-03 1.518e-02 1.306e-02 2.039e-03 3.502e-03
 5.581e-02 4.996e-02 2.694e-02 9.171e-02 2.648e-02 5.099e-02 2.384e-02 1.068e-01 3.541e-02 5.781e-01 4.201e-02 3.942e-02 1.271e-02 4.210e-02 1.648e-02 1.999e-02
 8.158e-02 3.836e-03 1.827e-02 1.511e-02 4.260e-03 1.131e-02 6.959e-03 6.027e-03 1.309e-02 4.497e-03 2.515e-01 3.129e-03 3.427e-03 4.063e-03 6.148e-03 4.651e-03
 5.132e-02 2.395e-01 5.659e-02 1.528e-01 9.872e-02 1.056e-01 9.078e-02 1.777e-01 1.227e-01 1.609e-01 1.193e-01 6.730e-01 5.389e-02 2.428e-01 1.192e-01 1.256e-01
 5.843e-03 2.348e-03 1.535e-03 2.286e-03 7.192e-03 3.124e-03 8.090e-03 9.739e-03 3.899e-03 1.038e-03 2.616e-03 1.079e-03 2.662e-01 2.448e-02 7.332e-03 3.354e-03
 1.734e-03 4.441e-03 1.690e-03 4.436e-03 2.807e-03 1.174e-02 6.913e-03 4.516e-02 2.466e-03 2.529e-03 2.280e-03 3.571e-03 1.800e-02 1.363e-01 2.421e-03 1.536e-02
 4.693e-02 1.248e-01 7.603e-02 3.884e-02 1.690e-01 1.352e-01 1.325e-01 1.183e-01 2.101e-02 5.401e-02 1.882e-01 9.567e-02 2.940e-01 1.321e-01 6.289e-01 1.094e-01
 9.584e-04 4.569e-03 2.033e-03 1.591e-02 9.694e-04 5.383e-02 7.917e-04 8.983e-03 5.326e-04 9.670e-04 2.101e-03 1.488e-03 1.986e-03 1.237e-02 1.615e-03 2.381e-01


 8.462e-01 8.922e-02 1.106e-01 1.052e-01
 5.162e-02 7.271e-01 8.399e-02 1.595e-01
 6.431e-02 8.440e-02 7.703e-01 5.658e-02
 3.789e-02 9.930e-02 3.505e-02 6.787e-01

